aircraft_type,rows,guess_category,model_name_suggested,notes
EC25,52,helicopter,,
V22,45,unknown,,
TB20,43,unknown,,
CN35,41,unknown,,
LJ75,39,unknown,,
P06T,39,unknown,,
C408,37,general_aviation,,
SB05,37,unknown,,
B06,36,unknown,,
BE10,36,general_aviation,,
EC30,36,helicopter,,
HDJT,36,unknown,,
U2,35,unknown,,
K35E,24,unknown,,
S2T,23,unknown,,
PUMA,20,unknown,,
M28,19,unknown,,
PZ3T,19,unknown,,
A119,18,unknown,,
K100,18,unknown,,
SW3,14,unknown,,
W3,14,unknown,,
C185,13,general_aviation,,
C212,13,general_aviation,,
Q9,13,unknown,,
BE19,12,general_aviation,,
DH3T,12,unknown,,
F406,12,military_or_special,,
LJ55,12,unknown,,
MU2,12,unknown,,
CVLT,11,unknown,,
HA4T,11,unknown,,
PA27,11,general_aviation,,
B105,10,unknown,,
BK17,10,unknown,,
BL8,10,unknown,,
C404,9,general_aviation,,
MIR2,9,unknown,,
PA32,9,general_aviation,,
0,8,unknown,,
C501,8,general_aviation,,
LJ31,8,unknown,,
ASTR,7,unknown,,
BE23,7,general_aviation,,
BER2,7,unknown,,
C340,7,general_aviation,,
H53,7,helicopter,,
LAMA,7,unknown,,
LJ70,7,unknown,,
S22T,7,unknown,,
AC6L,6,unknown,,
BE30,6,general_aviation,,
BE33,6,general_aviation,,
C162,6,general_aviation,,
C180,6,general_aviation,,
C82R,6,unknown,,
D140,6,unknown,,
EA50,6,unknown,,
H500,6,helicopter,,
SLG2,6,unknown,,
TBM7,6,unknown,,
TWEN,6,unknown,,
A210,5,unknown,,
AEST,5,unknown,,
AS21,5,helicopter,,
CL41,5,unknown,,
CP10,5,unknown,,
CVLP,5,unknown,,
H160,5,helicopter,,
L159,5,unknown,,
M600,5,unknown,,
R22,5,unknown,,
SB39,5,unknown,,
XL2,5,unknown,,
AT44,4,airliner_or_regional,,
B430,4,unknown,,
BT7,4,unknown,,
C425,4,general_aviation,,
C441,4,general_aviation,,
GAZL,4,unknown,,
H269,4,helicopter,,
M345,4,unknown,,
MA60,4,unknown,,
MG29,4,unknown,,
P28S,4,general_aviation,,
P32R,4,unknown,,
PA30,4,general_aviation,,
S2P,4,unknown,,
T214,4,unknown,,
TBM9,4,unknown,,
AC95,3,unknown,,
ALO3,3,unknown,,
B222,3,unknown,,
B26,3,unknown,,
B3XM,3,unknown,,
B58T,3,unknown,,
BE18,3,general_aviation,,
BE9T,3,unknown,,
BR23,3,unknown,,
C72R,3,unknown,,
COUR,3,unknown,,
ECHO,3,unknown,,
F60,3,military_or_special,,
FBA2,3,unknown,,
GA7,3,unknown,,
M7,3,unknown,,
P28U,3,general_aviation,,
P46T,3,unknown,,
W135,3,unknown,,
AA5,2,unknown,,
AT3T,2,unknown,,
BALL,2,unknown,,
C414,2,general_aviation,,
C421,2,general_aviation,,
C77R,2,unknown,,
DC3T,2,unknown,,
DG1T,2,unknown,,
LCA,2,unknown,,
MD60,2,unknown,,
PAT4,2,unknown,,
PAY1,2,unknown,,
PAY2,2,unknown,,
R722,2,unknown,,
SBR1,2,unknown,,
T33,2,unknown,,
T34P,2,unknown,,
TBM8,2,unknown,,
WB57,2,unknown,,
Z43,2,unknown,,
ZZZZ,2,unknown,,
A178,1,unknown,,
A313,1,unknown,,
AN2,1,unknown,,
AN22,1,unknown,,
ARVA,1,unknown,,
AS3B,1,unknown,,
B06T,1,unknown,,
BDOG,1,unknown,,
BE24,1,general_aviation,,
BE60,1,general_aviation,,
BE95,1,general_aviation,,
C337,1,general_aviation,,
C5,1,military_or_special,,
C551,1,general_aviation,,
C82T,1,unknown,,
CH53,1,unknown,,
CH7B,1,unknown,,
COL3,1,unknown,,
COL4,1,unknown,,
DIMO,1,unknown,,
E275,1,airliner_or_regional,,
E737,1,airliner_or_regional,,
ER4,1,unknown,,
F104,1,military_or_special,,
F260,1,military_or_special,,
F5,1,unknown,,
G21,1,unknown,,
GA4C,1,unknown,,
GB1,1,unknown,,
GRND,1,unknown,,
H46,1,helicopter,,
HR20,1,unknown,,
HUSK,1,unknown,,
J3,1,unknown,,
K900,1,unknown,,
KA27,1,unknown,,
L8,1,unknown,,
LA4,1,unknown,,
LJ28,1,unknown,,
M20P,1,unknown,,
M20T,1,unknown,,
M5,1,unknown,,
M700,1,unknown,,
MH90,1,unknown,,
P32T,1,unknown,,
PA22,1,general_aviation,,
PA23,1,general_aviation,,
PA24,1,general_aviation,,
PA25,1,general_aviation,,
PISI,1,unknown,,
PIVE,1,unknown,,
PTS2,1,unknown,,
Q25,1,unknown,,
R200,1,unknown,,
RFAL,1,unknown,,
RV7,1,unknown,,
S330,1,unknown,,
SGUP,1,unknown,,
SHIP,1,unknown,,
SKAR,1,unknown,,
SS2T,1,unknown,,
SVNH,1,unknown,,
T210,1,unknown,,
TAMP,1,unknown,,
TB21,1,unknown,,
TIGR,1,unknown,,
UH12,1,helicopter,,
VR7,1,unknown,,
WACF,1,unknown,,
WACO,1,unknown,,
Z50,1,unknown,,
