aircraft_type,model_name_manual
P28A,Piper PA-28
BE40,Beechcraft aircraft
BE20,Beechcraft aircraft
BE99,Beechcraft aircraft
C402,Cessna 400 series
UH1,Bell helicopter
PA31,Piper PA-31 Navajo
BE9L,Beechcraft aircraft
BE58,Beechcraft aircraft
P28R,Piper PA-28
C408,Cessna 400 series
BE10,Beechcraft aircraft
PA34,Piper PA-31 Navajo
BE4W,Beechcraft aircraft
BE19,Beechcraft aircraft
PA38,Piper PA-31 Navajo
BE36,Beechcraft aircraft
BE65,Beechcraft aircraft
BE80,Beechcraft aircraft
BE76,Beechcraft aircraft
PA32,Piper PA-31 Navajo
C404,Cessna 400 series
BE23,Beechcraft aircraft
BER2,Beechcraft aircraft
BE55,Beechcraft aircraft
BE33,Beechcraft aircraft
BE30,Beechcraft aircraft
C46,Cessna 400 series
C425,Cessna 400 series
P28T,Piper PA-28
PA30,Piper PA-31 Navajo
C441,Cessna 400 series
P28S,Piper PA-28
MA60,Xian MA60
P28U,Piper PA-28
BE18,Beechcraft aircraft
BE9T,Beechcraft aircraft
C414,Cessna 400 series
C421,Cessna 400 series
UH12,Bell helicopter
BE60,Beechcraft aircraft
P28B,Piper PA-28
BE95,Beechcraft aircraft
BE24,Beechcraft aircraft
