aircraft_type,rows,model_name,manufacturer,entry_year,source,has_model_name,has_entry_year,share_rows,guess_category,suggested_action
B738,4625,Boeing 737-800,,1997.0,wikidata:P606,True,True,0.08328231353765261,airliner,OK
A320,3803,Airbus A320,,,,True,False,0.068480570461339,airliner,PRIORITY: fix entry_year lookup for this model_name
A20N,2401,Airbus A320neo,,2014.0,wikidata:P606,True,True,0.04323477509273598,airliner,OK
A21N,2032,Airbus A321neo,,2016.0,wikidata:P606,True,True,0.036590196996434614,airliner,OK
B38M,1742,Boeing 737 MAX 8,,2016.0,wikidata:P606,True,True,0.031368170850289916,airliner,OK
A321,1591,Airbus A321,,1993.0,wikidata:P606,True,True,0.028649115856952498,airliner,OK
C172,1060,Cessna 172 Skyhawk,,1955.0,wikidata:P606,True,True,0.019087405913494435,general_aviation,OK
A319,931,Airbus A319,,1995.0,wikidata:P606,True,True,0.016764504627795586,airliner,OK
B789,826,Boeing 787-9,,,,True,False,0.014873771023156984,airliner,MED: improve scraping (try other queries / props / sources)
B77W,769,Boeing 777-300ER,,2003.0,wikidata:P606,True,True,0.013847372780638889,airliner,OK
P28A,756,Piper PA-28 Archer,,,,True,False,0.013613281953397918,general_aviation,MED: improve scraping (try other queries / props / sources)
B737,717,Boeing 737,,1967.0,wikidata:P606,True,True,0.01291100947167501,airliner,OK
C208,713,Cessna 208 Caravan,,1982.0,wikidata:P606,True,True,0.012838981524831634,general_aviation,OK
A359,663,Airbus A350-900,,2013.0,wikidata:P606,True,True,0.011938632189289445,airliner,OK
A333,653,Airbus A330-300,,,,True,False,0.011758562322181006,airliner,MED: improve scraping (try other queries / props / sources)
AT76,615,ATR 72-600,,,,True,False,0.011074296827168942,airliner,MED: improve scraping (try other queries / props / sources)
B763,610,Boeing 767-300,,1986.0,wikidata:P606,True,True,0.010984261893614723,airliner,OK
E75L,610,Embraer 175,,2003.0,wikidata:P606,True,True,0.010984261893614723,unknown,OK
C130,582,Lockheed C-130 Hercules,,1954.0,wikidata:P606,True,True,0.010480066265711095,military,OK
TEX2,567,Beechcraft T-6 Texan II,,2000.0,wikidata:P606,True,True,0.010209961465048439,general_aviation,OK
PC12,533,Pilatus PC-12,,1991.0,wikidata:P606,True,True,0.00959772391687975,unknown,OK
T38,520,Northrop T-38 Talon,,1959.0,wikidata:P606,True,True,0.00936363308963878,military,OK
B739,513,Boeing 737-900,,2000.0,wikidata:P606,True,True,0.009237584182662873,airliner,OK
B752,492,Boeing 757-200,,1982.0,wikidata:P606,True,True,0.008859437461735153,airliner,OK
DH8D,474,Bombardier Dash 8 Q400,,,,True,False,0.008535311700939964,airliner,MED: improve scraping (try other queries / props / sources)
A332,462,Airbus A330-200,,,,True,False,0.008319227860409839,airliner,MED: improve scraping (try other queries / props / sources)
E190,421,Embraer 190,,2004.0,wikidata:P606,True,True,0.007580941405265243,airliner_or_regional,OK
C30J,412,Lockheed C-130J Super Hercules,,1996.0,wikidata:P606,True,True,0.007418878524867649,military,OK
BCS3,404,Bombardier CS300,,2015.0,wikidata:P606,True,True,0.007274822631180899,airliner,OK
K35R,404,Boeing KC-135R Stratotanker,,,,True,False,0.007274822631180899,unknown,MED: improve scraping (try other queries / props / sources)
CRJ9,403,Bombardier CRJ-900,,2001.0,wikidata:P606,True,True,0.007256815644470054,airliner,OK
B788,385,Boeing 787-8,,,,True,False,0.006932689883674866,airliner,MED: improve scraping (try other queries / props / sources)
EC35,372,Eurocopter EC135,,1994.0,wikidata:P606,True,True,0.006698599056433896,helicopter,OK
A139,366,AgustaWestland AW139,,2001.0,wikidata:P606,True,True,0.0065905571361688335,unknown,OK
CRJ2,361,Bombardier CRJ-200,,1991.0,wikidata:P606,True,True,0.006500522202614614,airliner,OK
