aircraft_type,rows
F900,45
V22,45
TB20,43
P68,42
CN35,41
C25C,40
LJ75,39
P06T,39
C550,37
B764,37
C408,37
SB05,37
BE10,36
EC30,36
B06,36
HDJT,36
U2,35
CL2T,34
B732,34
CRJX,34
T204,31
A346,25
K35E,24
S2T,23
T154,20
C919,20
J328,20
PUMA,20
G280,20
A124,19
IL96,19
CRJ1,19
A310,19
M28,19
A119,18
K100,18
FA50,18
MD88,18
W3,14
SW3,14
C212,13
C185,13
DC93,13
S61,13
Q9,13
F406,12
LJ55,12
BE19,12
MU2,12
B742,12
DH3T,12
T134,12
CVLT,11
IL62,11
SB20,11
HA4T,11
PA27,11
BL8,10
DC91,10
B105,10
BK17,10
MIR2,9
C404,9
AN72,9
PA32,9
A338,9
TRIS,8
0,8
C501,8
LJ31,8
JS31,8
A318,8
LJ70,7
BE55,7
DC6,7
BE23,7
BER2,7
H53,7
ASTR,7
LAMA,7
C340,7
S22T,7
A337,7
EA50,6
C180,6
A30B,6
C210,6
BE30,6
BE33,6
SLG2,6
DC87,6
AC6L,6
TBM7,6
H25C,6
D140,6
TWEN,6
H500,6
C162,6
C82R,6
CP10,5
CL41,5
B779,5
SB39,5
AS21,5
XL2,5
M600,5
H160,5
AEST,5
A3ST,5
L159,5
A210,5
B736,5
CVLP,5
GAZL,4
BT7,4
A342,4
F28,4
MG29,4
P28S,4
M345,4
PA30,4
S2P,4
TBM9,4
P32R,4
DHC7,4
MA60,4
AT44,4
A158,4
SC7,4
T214,4
H269,4
B430,4
C425,4
C441,4
A140,4
B3XM,3
MD81,3
C72R,3
PC6T,3
GA7,3
A345,3
B58T,3
AC95,3
B26,3
BR23,3
M7,3
COUR,3
F60,3
FBA2,3
P46T,3
BE18,3
ECHO,3
W135,3
ALO3,3
BE9T,3
MD90,3
P28U,3
DH2T,3
B222,3
MD87,3
B37M,2
DG1T,2
B461,2
T33,2
C77R,2
Z43,2
C421,2
AT3T,2
LCA,2
C414,2
BALL,2
R722,2
F27,2
SBR1,2
AN28,2
PAT4,2
WB57,2
TBM8,2
MD60,2
DC3T,2
T34P,2
PAY1,2
AN30,2
PAY2,2
AA5,2
ZZZZ,2
UH12,1
Q25,1
L8,1
E737,1
H46,1
F260,1
F5,1
C5,1
BE95,1
CH7B,1
AC68,1
Z50,1
B743,1
GB1,1
S330,1
GA4C,1
ER4,1
RFAL,1
COL4,1
RV7,1
CH53,1
B06T,1
PIVE,1
R200,1
GRND,1
AN22,1
A178,1
P28B,1
PA23,1
DHC3,1
ARVA,1
BE24,1
AS3B,1
PISI,1
E275,1
DIMO,1
J3,1
TAMP,1
WACO,1
M5,1
AN2,1
LJ28,1
BE60,1
C500,1
SVNH,1
A313,1
SKAR,1
G21,1
SS2T,1
M700,1
HR20,1
F104,1
HUSK,1
WACF,1
PA25,1
PTS2,1
PA24,1
MH90,1
SH33,1
RJ70,1
TB21,1
LA4,1
KA27,1
C82T,1
C337,1
K900,1
BDOG,1
C551,1
P32T,1
PA22,1
TIGR,1
VR7,1
SGUP,1
COL3,1
SHIP,1
T210,1
M20T,1
M20P,1
