airline_name,country,region,avg_entry_year,modern_count_2015,modern_count_2010,diversity_score,fleet_size,pct_modern_2015,pct_modern_2010,modernity_index,new_gen_share,cluster,pca_1,pca_2
2Excel Aviation,Territoire britannique de l'océan Indien,Asia,1978.8333333333333,0,3,7,18,0.0,16.666666666666664,0.0,0.0,2,-0.29294486363256245,1.0424595421026361
9 Air,Taïwan,Asia,2000.5185185185185,5,5,2,27,18.51851851851852,18.51851851851852,0.1851851851851852,0.1851851851851852,0,0.7854963825653654,-0.7784282703487723
ABX Air,Porto Rico,North America,1982.3636363636365,0,0,2,11,0.0,0.0,0.0,0.0,0,-0.7015051196812097,-0.3570108293238335
AIRPAC Airlines,Porto Rico,North America,1979.75,0,0,2,8,0.0,0.0,0.0,0.0,0,-0.7097923142559374,-0.3756816705514164
AJet,Turquie,Europe,2004.355555555556,22,38,5,90,24.444444444444443,42.22222222222222,0.2444444444444444,0.2444444444444444,2,1.6547585518372507,0.26048395707801175
AMC Aviation,Pologne,Europe,2000.3333333333333,0,0,6,9,0.0,0.0,0.0,0.0,2,-0.39565114109826865,0.7152660033741323
ARM Aviacion,Guatemala,North America,1972.142857142857,0,0,3,7,0.0,0.0,0.0,0.0,0,-0.6347100187059901,-0.11072426924818872
ASG Business Aviation,Azerbaïdjan,Asia,1991.6,0,0,3,5,0.0,0.0,0.0,0.0,0,-0.6402348150891418,-0.12317149673324394
ASKY Airlines,Éthiopie,Africa,1993.75,2,2,3,16,12.5,12.5,0.125,0.125,0,0.36404367856561154,-0.40638354667657206
ASL Airlines,Îles Cocos,Oceania,1993.0961538461536,0,0,6,52,0.0,0.0,0.0,0.0,2,-0.2768680188605056,0.9828813943028198
ATA Airlines,Iran,Asia,1986.3076923076924,0,0,4,13,0.0,0.0,0.0,0.0,0,-0.5402909358150115,0.19779842825273228
ATI Jet,Porto Rico,North America,1989.15,0,0,2,20,0.0,0.0,0.0,0.0,0,-0.6766435359570268,-0.3009983056410849
Abakan Air,Russie,Europe,1971.6,0,0,2,5,0.0,0.0,0.0,0.0,0,-0.718079508830665,-0.39435251177899916
Abu Dhabi Aviation,Émirats arabes unis,Asia,1998.4,0,2,4,10,0.0,20.0,0.0,0.0,0,-0.5485781303897392,0.17912758702514942
Advanced Air,Porto Rico,North America,1993.7142857142856,0,0,4,7,0.0,0.0,0.0,0.0,0,-0.5568653249644668,0.16045674579756655
Aegean Airlines,Grèce,Europe,2012.65,15,36,3,40,37.5,90.0,0.375,0.375,1,2.3781254622582697,-0.960360419078173
Aer Lingus,Irlande,Europe,2011.190476190476,11,18,3,21,52.38095238095239,85.71428571428571,0.5238095238095238,0.5238095238095238,1,3.4850352698890648,-1.4972659862708788
Aero,Territoire britannique de l'océan Indien,Asia,1993.0,0,0,2,6,0.0,0.0,0.0,0.0,0,-0.7153171106390891,-0.3881288980364716
Aero Asahi,Japon,Asia,1978.9615384615383,0,0,11,26,0.0,0.0,0.0,0.0,2,0.04053309686613743,2.1769725122258783
Aero Charter,Porto Rico,North America,1996.6666666666667,0,0,4,9,0.0,0.0,0.0,0.0,0,-0.5513405285813151,0.1729039732826218
AeroGuard Flight Training Center,Porto Rico,North America,1955.0,0,0,1,22,0.0,0.0,0.0,0.0,0,-0.7489634333153982,-0.559732093201785
AeroLogic,Allemagne,Europe,1990.0,0,0,1,14,0.0,0.0,0.0,0.0,0,-0.7710626188480052,-0.6095210031420059
