airline_name,country,region,avg_entry_year,modern_count_2015,modern_count_2010,diversity_score,fleet_size,pct_modern_2015,pct_modern_2010,modernity_index
21 Air,Porto Rico,North America,1978.0,0,0,1,2,0.0,0.0,0.0
247 Aviation,Territoire britannique de l'océan Indien,Asia,2001.5,0,2,2,4,0.0,50.0,0.0
2Excel Aviation,Territoire britannique de l'océan Indien,Asia,1978.8333333333333,0,3,7,18,0.0,16.666666666666664,0.0
30 West Jets,Porto Rico,North America,1995.0,0,0,1,1,0.0,0.0,0.0
748 Air Services,Kenya,Africa,1982.0,0,0,1,2,0.0,0.0,0.0
7Air Cargo,Porto Rico,North America,1997.0,0,0,1,3,0.0,0.0,0.0
9 Air,Taïwan,Asia,2000.5185185185185,5,5,2,27,18.51851851851852,18.51851851851852,0.1851851851851852
ABX Air,Porto Rico,North America,1982.3636363636363,0,0,2,11,0.0,0.0,0.0
ACASS Ireland,Irlande,Europe,1990.5,0,0,2,2,0.0,0.0,0.0
AIR TXT,Espagne,Europe,1987.0,0,0,1,1,0.0,0.0,0.0
AIRPAC Airlines,Porto Rico,North America,1979.75,0,0,2,8,0.0,0.0,0.0
AJet,Turquie,Europe,2004.3555555555556,22,38,5,90,24.444444444444443,42.22222222222222,0.24444444444444444
ALK Airlines,Bulgarie,Europe,1984.0,0,0,1,1,0.0,0.0,0.0
AMC Airlines,Égypte,Africa,1989.0,0,0,1,2,0.0,0.0,0.0
AMC Aviation,Pologne,Europe,2000.3333333333333,0,0,6,9,0.0,0.0,0.0
ARM Aviacion,Guatemala,North America,1972.142857142857,0,0,3,7,0.0,0.0,0.0
ASG Business Aviation,Azerbaïdjan,Asia,1991.6,0,0,3,5,0.0,0.0,0.0
ASKY Airlines,Éthiopie,Africa,1993.75,2,2,3,16,12.5,12.5,0.125
ASL Airlines,Îles Cocos,Oceania,1993.0961538461538,0,0,6,52,0.0,0.0,0.0
ATA Airlines,Iran,Asia,1986.3076923076924,0,0,4,13,0.0,0.0,0.0
ATI Jet,Porto Rico,North America,1989.15,0,0,2,20,0.0,0.0,0.0
ATM Information Service Japan,Suède,Europe,1999.5,0,0,2,4,0.0,0.0,0.0
ATP Flight School,Porto Rico,North America,1955.0,0,0,1,2,0.0,0.0,0.0
