airline_name,country,region,avg_entry_year,modern_count_2015,modern_count_2010,diversity_score,fleet_size,pct_modern_2015,pct_modern_2010,modernity_index
2Excel Aviation,Territoire britannique de l'océan Indien,Asia,1978.8333333333333,0,3,7,18,0.0,16.666666666666664,0.0
9 Air,Taïwan,Asia,2000.5185185185185,5,5,2,27,18.51851851851852,18.51851851851852,0.1851851851851852
ABX Air,Porto Rico,North America,1982.3636363636365,0,0,2,11,0.0,0.0,0.0
AIRPAC Airlines,Porto Rico,North America,1979.75,0,0,2,8,0.0,0.0,0.0
AJet,Turquie,Europe,2004.355555555556,22,38,5,90,24.444444444444443,42.22222222222222,0.2444444444444444
AMC Aviation,Pologne,Europe,2000.3333333333333,0,0,6,9,0.0,0.0,0.0
ARM Aviacion,Guatemala,North America,1972.142857142857,0,0,3,7,0.0,0.0,0.0
ASG Business Aviation,Azerbaïdjan,Asia,1991.6,0,0,3,5,0.0,0.0,0.0
ASKY Airlines,Éthiopie,Africa,1993.75,2,2,3,16,12.5,12.5,0.125
ASL Airlines,Îles Cocos,Oceania,1993.0961538461536,0,0,6,52,0.0,0.0,0.0
ATA Airlines,Iran,Asia,1986.3076923076924,0,0,4,13,0.0,0.0,0.0
ATI Jet,Porto Rico,North America,1989.15,0,0,2,20,0.0,0.0,0.0
Abakan Air,Russie,Europe,1971.6,0,0,2,5,0.0,0.0,0.0
Abu Dhabi Aviation,Émirats arabes unis,Asia,1998.4,0,2,4,10,0.0,20.0,0.0
Advanced Air,Porto Rico,North America,1993.7142857142856,0,0,4,7,0.0,0.0,0.0
Aegean Airlines,Grèce,Europe,2012.65,15,36,3,40,37.5,90.0,0.375
Aer Lingus,Irlande,Europe,2011.190476190476,11,18,3,21,52.38095238095239,85.71428571428571,0.5238095238095238
Aero,Territoire britannique de l'océan Indien,Asia,1993.0,0,0,2,6,0.0,0.0,0.0
Aero Asahi,Japon,Asia,1978.9615384615383,0,0,11,26,0.0,0.0,0.0
Aero Charter,Porto Rico,North America,1996.6666666666667,0,0,4,9,0.0,0.0,0.0
AeroGuard Flight Training Center,Porto Rico,North America,1955.0,0,0,1,22,0.0,0.0,0.0
AeroLogic,Allemagne,Europe,1990.0,0,0,1,14,0.0,0.0,0.0
Aeroclub Barcelona-Sabadell,Espagne,Europe,1959.625,0,0,3,8,0.0,0.0,0.0
Aerodynamics Academy,Espagne,Europe,2002.25,0,0,2,16,0.0,0.0,0.0
Aeroflot,Russie,Europe,1999.377358490566,3,15,6,106,2.8301886792452837,14.150943396226417,0.0283018867924528
Aeroitalia,Malte,Europe,1998.1818181818185,0,0,3,11,0.0,0.0,0.0
Aerolineas Argentinas,Argentine,South America,1997.904761904762,12,12,5,84,14.285714285714285,14.285714285714285,0.1428571428571428
Aerolineas Ejecutivas,Mexique,North America,2006.25,0,6,3,8,0.0,75.0,0.0
Aeromexico,Irlande,Europe,2007.5,42,42,2,76,55.26315789473685,55.26315789473685,0.5526315789473685
Aeromexico Connect,Mexique,North America,2004.0,0,0,1,36,0.0,0.0,0.0
Aeronaves TSM,Mexique,North America,1983.1724137931035,0,1,7,58,0.0,1.7241379310344829,0.0
Aeropartner,République tchèque,Europe,2000.7142857142856,0,0,3,7,0.0,0.0,0.0
Aeroservicios de la Costa,Mexique,North America,1969.0,0,0,1,5,0.0,0.0,0.0
Aerotec,Espagne,Europe,1956.5,0,0,2,8,0.0,0.0,0.0
Aerovias DAP,Chili,South America,1984.7777777777776,0,0,4,9,0.0,0.0,0.0
Aeroways,Allemagne,Europe,2000.4,0,0,2,5,0.0,0.0,0.0
Aerowest,Allemagne,Europe,2000.8,0,3,4,10,0.0,30.0,0.0
Aerus,Mexique,North America,1982.0,0,0,1,7,0.0,0.0,0.0
Africa World Airlines,Ghana,Africa,1995.0,0,0,1,8,0.0,0.0,0.0
Air Adelphi,Saint-Vincent-et-les-Grenadines,North America,1965.0,0,0,1,5,0.0,0.0,0.0
Air Algerie,Algérie,Africa,1991.9166666666667,0,0,4,36,0.0,0.0,0.0
Air Alliance,Allemagne,Europe,2002.4285714285716,0,1,5,7,0.0,14.285714285714285,0.0
Air Arabia,Émirats arabes unis,Asia,2008.3333333333333,6,6,2,9,66.66666666666666,66.66666666666666,0.6666666666666665
Air Astana,Irlande,Europe,2010.5151515151515,16,27,4,33,48.48484848484848,81.81818181818183,0.4848484848484848
Air Austral,Polynésie française,Oceania,2009.0,3,3,2,6,50.0,50.0,0.5
Air Baltic,Lettonie,Europe,2015.0,50,50,1,50,100.0,100.0,1.0
Air Borealis,Canada,North America,1965.0,0,0,1,9,0.0,0.0,0.0
Air Busan,Corée du Sud,Asia,2004.5,8,8,2,16,50.0,50.0,0.5
Air Cairo,Égypte,Africa,2012.571428571429,0,18,2,21,0.0,85.71428571428571,0.0
Air Canada,Canada,North America,2005.788944723618,84,84,9,199,42.21105527638191,42.21105527638191,0.422110552763819
Air Canada Rouge,Canada,North America,1994.125,0,0,2,32,0.0,0.0,0.0
Air Caraibes,France,Europe,2014.7142857142856,4,7,2,7,57.14285714285714,100.0,0.5714285714285714
Air Central,Taïwan,Asia,1990.6153846153843,0,0,3,13,0.0,0.0,0.0
Air Changan,Taïwan,Asia,1997.0,0,0,1,14,0.0,0.0,0.0
Air Charter Scotland,Territoire britannique de l'océan Indien,Asia,2003.2222222222224,0,3,5,9,0.0,33.33333333333333,0.0
Air Chathams,Nouvelle-Zélande,Oceania,1979.2727272727277,0,0,3,11,0.0,0.0,0.0
Air China,Taïwan,Asia,2001.3178294573645,58,144,13,387,14.987080103359174,37.2093023255814,0.1498708010335917
Air China Cargo,Taïwan,Asia,1987.88,0,0,4,25,0.0,0.0,0.0
Air China Inner Mongolia,Taïwan,Asia,1993.6666666666667,0,0,2,9,0.0,0.0,0.0
Air Corporate,Italie,Europe,1992.6,0,1,7,10,0.0,10.0,0.0
Air CÃ´te d'Ivoire,Côte d'Ivoire,Africa,1998.1666666666667,0,1,2,6,0.0,16.666666666666664,0.0
Air Do,Japon,Asia,1974.3076923076924,0,0,2,13,0.0,0.0,0.0
Air Dolomiti,Italie,Europe,2004.0,0,0,1,9,0.0,0.0,0.0
Air Europa,Espagne,Europe,1997.703703703704,1,1,2,27,3.7037037037037033,3.7037037037037033,0.037037037037037
Air Flamenco,Porto Rico,North America,1965.0,0,0,1,8,0.0,0.0,0.0
Air France,France,Europe,2004.1681415929204,44,83,10,226,19.469026548672566,36.72566371681416,0.1946902654867256
Air Greenland,Îles Féroé,Europe,1985.076923076923,0,0,3,13,0.0,0.0,0.0
Air Incheon,Corée du Sud,Asia,1994.0,0,0,2,6,0.0,0.0,0.0
Air India,Inde,Asia,2009.496732026144,11,111,7,153,7.18954248366013,72.54901960784314,0.0718954248366013
Air India Express,Inde,Asia,2010.2444444444443,52,64,4,90,57.77777777777777,71.11111111111111,0.5777777777777777
Air Inuit,Canada,North America,1975.4545454545453,0,0,3,11,0.0,0.0,0.0
Air Liaison,Canada,North America,1979.75,0,0,2,8,0.0,0.0,0.0
Air Libya,Libye,Africa,1987.75,0,0,5,8,0.0,0.0,0.0
Air Macau,Macao,Asia,2004.0,4,8,3,16,25.0,50.0,0.25
Air Mauritius,Maurice,Africa,2007.5,2,6,3,8,25.0,75.0,0.25
Air Methods,Porto Rico,North America,1992.9473684210527,0,0,6,19,0.0,0.0,0.0
Air New Zealand,Nouvelle-Zélande,Oceania,2011.103448275862,13,19,3,29,44.82758620689656,65.51724137931035,0.4482758620689655
Air Niugini,Papouasie-Nouvelle-Guinée,Oceania,1990.1666666666667,0,0,4,18,0.0,0.0,0.0
