aircraft_type,model_name,manufacturer,entry_year,source
B738,Boeing 737-800,,1997,wikidata:P606
A320,Airbus A320,,,
A20N,Airbus A320neo,,2014,wikidata:P606
A21N,Airbus A321neo,,2016,wikidata:P606
B38M,Boeing 737 MAX 8,,2016,wikidata:P606
A321,Airbus A321,,1993,wikidata:P606
C172,Cessna 172 Skyhawk,,1955,wikidata:P606
A319,Airbus A319,,1995,wikidata:P606
B789,Boeing 787-9,,,
B77W,Boeing 777-300ER,,2003,wikidata:P606
P28A,Piper PA-28 Archer,,,
B737,Boeing 737,,1967,wikidata:P606
C208,Cessna 208 Caravan,,1982,wikidata:P606
A359,Airbus A350-900,,2013,wikidata:P606
A333,Airbus A330-300,,,
AT76,ATR 72-600,,,
E75L,Embraer 175,,2003,wikidata:P606
B763,Boeing 767-300,,1986,wikidata:P606
C130,Lockheed C-130 Hercules,,1954,wikidata:P606
TEX2,Beechcraft T-6 Texan II,,2000,wikidata:P606
PC12,Pilatus PC-12,,1991,wikidata:P606
T38,Northrop T-38 Talon,,1959,wikidata:P606
B739,Boeing 737-900,,2000,wikidata:P606
B752,Boeing 757-200,,1982,wikidata:P606
DH8D,Bombardier Dash 8 Q400,,,
A332,Airbus A330-200,,1987,wikipedia:lead
E190,Embraer 190,,2004,wikidata:P606
C30J,Lockheed C-130J Super Hercules,,1996,wikidata:P606
K35R,Boeing KC-135R Stratotanker,,,
BCS3,Bombardier CS300,,2015,wikidata:P606
CRJ9,Bombardier CRJ-900,,2001,wikidata:P606
B788,Boeing 787-8,,,
EC35,Eurocopter EC135,,1994,wikidata:P606
A139,AgustaWestland AW139,,2001,wikidata:P606
CRJ2,Bombardier CRJ-200,,1991,wikidata:P606
E55P,Embraer Phenom 300,,2008,wikidata:P606
C56X,Cessna Citation XLS,,1996,wikidata:P606
AS50,Eurocopter AS350 Écureuil,,1974,wikidata:P606
C182,Cessna 182 Skylane,,1956,wikidata:P606
B77L,Boeing 777-200LR,,1990,wikipedia:lead
EC45,Eurocopter EC145,,1999,wikidata:P606
B190,Beechcraft 1900,,1982,wikidata:P606
E145,Embraer ERJ-145,,1995,wikidata:P606
DHC6,de Havilland Canada DHC-6 Twin Otter,,1965,wikidata:P606
BE40,Beechcraft Premier I,,,
CRJ7,Bombardier CRJ-700,,1999,wikidata:P606
C68A,Cessna Citation Latitude,,2014,wikidata:P606
