model_name_norm,entry_year,source
Boeing 737-800,1997,wikidata:P606
Airbus A320neo,2014,wikidata:P606
Airbus A321neo,2016,wikidata:P606
Boeing 737 MAX 8,2016,wikidata:P606
Airbus A321,1993,wikidata:P606
Cessna 172 Skyhawk,1955,wikidata:P606
Airbus A319,1995,wikidata:P606
Boeing 777-300ER,2003,wikidata:P606
Boeing 737,1967,wikidata:P606
Cessna 208 Caravan,1982,wikidata:P606
Airbus A350-900,2013,wikidata:P606
Embraer 175,2003,wikidata:P606
Boeing 767-300,1986,wikidata:P606
Lockheed C-130 Hercules,1954,wikidata:P606
Beechcraft T-6 Texan II,2000,wikidata:P606
Pilatus PC-12,1991,wikidata:P606
Northrop T-38 Talon,1959,wikidata:P606
Boeing 737-900,2000,wikidata:P606
Boeing 757-200,1982,wikidata:P606
Airbus A330-200,1987,wikipedia:lead
Embraer 190,2004,wikidata:P606
Lockheed C-130J Super Hercules,1996,wikidata:P606
Bombardier CS300,2015,wikidata:P606
Bombardier CRJ-900,2001,wikidata:P606
Eurocopter EC135,1994,wikidata:P606
AgustaWestland AW139,2001,wikidata:P606
Bombardier CRJ-200,1991,wikidata:P606
Embraer Phenom 300,2008,wikidata:P606
Cessna Citation XLS,1996,wikidata:P606
Eurocopter AS350 Écureuil,1974,wikidata:P606
Cessna 182 Skylane,1956,wikidata:P606
Boeing 777-200LR,1990,wikipedia:lead
Eurocopter EC145,1999,wikidata:P606
Beechcraft 1900,1982,wikidata:P606
Embraer ERJ-145,1995,wikidata:P606
de Havilland Canada DHC-6 Twin Otter,1965,wikidata:P606
Bombardier CRJ-700,1999,wikidata:P606
Cessna Citation Latitude,2014,wikidata:P606
Cirrus SR20,1995,wikidata:P606
Boeing 777-200,1994,wikidata:P606
Sikorsky UH-60 Black Hawk,1974,wikidata:P606
Boeing C-17 Globemaster III,1991,wikidata:P606
Boeing 737-300,1984,wikidata:P606
Airbus A330-900neo,2017,wikidata:P606
Diamond DA40,1997,wikidata:P606
Boeing 747-400,1988,wikidata:P606
Pilatus PC-21,2002,wikidata:P606
Bombardier Global Express,1996,wikidata:P606
Sikorsky S-92,1998,wikidata:P606
Diamond DA42,2002,wikidata:P606
Airbus A300-600,1994,wikidata:P606
Saab 340,1983,wikidata:P606
Sukhoi Superjet 100,2008,wikidata:P606
Pilatus PC-24,2007,wikipedia:lead
Gulfstream IV,1985,wikidata:P606
Boeing 767-200,1978,wikipedia:lead
Learjet 35,1973,wikidata:P606
Swearingen Metroliner,1969,wikidata:P606
Embraer 170,2002,wikidata:P606
Eurofighter Typhoon,1994,wikidata:P606
Eurocopter AS365 Dauphin,1975,wikidata:P606
Airbus C295,1997,wikidata:P606
NHIndustries NH90,1995,wikidata:P606
Hawker 800,1983,wikidata:P606
Boeing 787-10,2017,wikidata:P606
Boeing 747-8,2010,wikidata:P606
Cessna Citation X,1993,wikidata:P606
BAE Hawk,1974,wikidata:P606
Airbus A400M Atlas,2009,wikidata:P606
Ilyushin Il-76,1971,wikidata:P606
Boeing CH-47 Chinook,1961,wikidata:P606
Bell 407,1995,wikidata:P606
Embraer Legacy 600/650,2001,wikidata:P606
Cessna Citation Sovereign,2002,wikidata:P606
Learjet 60,1990,wikidata:P606
Beechcraft 99 Airliner,1966,wikidata:P606
Gulfstream G650,2009,wikidata:P606
Boeing 737-500,1989,wikidata:P606
Gulfstream V,1995,wikidata:P606
Antonov An-32,1976,wikidata:P606
Learjet 45,1995,wikidata:P606
Airbus A350-1000,2016,wikidata:P606
Cessna 402,1965,wikidata:P606
AgustaWestland AW109,1971,wikidata:P606
Dornier 228,1981,wikidata:P606
Diamond DA20 Katana,1991,wikidata:P606
Cessna Citation CJ2,2000,wikidata:P729
Gulfstream G700,2020,wikidata:P606
Boeing 717-200,1998,wikidata:P606
Gulfstream G500,1995,wikidata:P606
Tecnam P2008,2009,wikipedia:lead
AgustaWestland EH101 Merlin,1987,wikidata:P606
Embraer Legacy 450,2008,wikipedia:lead
McDonnell Douglas F-15 Eagle,1972,wikidata:P606
Fokker 100,1986,wikidata:P606
Westland Lynx,1971,wikidata:P606
Bell UH-1 Iroquois,1956,wikidata:P606
AgustaWestland AW169,2012,wikidata:P606
Panavia Tornado,1974,wikidata:P606
Bell 412,1979,wikidata:P606
Boeing B-52 Stratofortress,1952,wikidata:P606
McDonnell Douglas MD-11,1990,wikidata:P606
