aircraft_type,model_key,reason
A19N,A19N,no_match
A30B,A30B,no_match
AC68,AC68,no_match
AC6L,AC6L,no_match
AC95,AC95,no_match
AJ27,AJ27,no_match
ALO3,ALO3,no_match
AS3B,AS3B,no_match
AT3T,AT3T,no_match
AT46,AT46,no_match
AT8T,AT8T,no_match
B06T,B06T,no_match
B37M,B37M,no_match
B39M,B39M,no_match
B3XM,B3XM,no_match
B58T,B58T,no_match
B779,B779,no_match
BCS3,BCS3,no_match
BDOG,BDOG,no_match
BE23,BE23,no_match
BE24,BE24,no_match
BE40,BE40,no_match
BE4W,BE4W,no_match
BE60,BE60,no_match
BE76,BE76,no_match
BE80,BE80,no_match
BE95,BE95,no_match
BE9L,BE9L,no_match
BE9T,BE9T,no_match
BK17,BK17,no_match
BLCF,BLCF,no_match
C25M,C25M,no_match
C30J,C30J,no_match
C680,C680,no_match
C68A,C68A,no_match
C700,C700,no_match
C72R,C72R,no_match
C77R,C77R,no_match
C82R,C82R,no_match
C82S,C82S,no_match
C82T,C82T,no_match
CH7A,CH7A,no_match
CH7B,CH7B,no_match
CL2P,CL2P,no_match
CL35,CL35,no_match
CN35,CN35,no_match
CRJX,CRJX,no_match
DA62,DA62,no_match
DC87,DC87,no_match
DC91,DC91,no_match
DC93,DC93,no_match
DG1T,DG1T,no_match
DH2T,DH2T,no_match
DH3T,DH3T,no_match
DH8A,DH8A,no_match
DH8B,DH8B,no_match
DH8C,DH8C,no_match
DH8D,De Havilland Canada Dash 8-400,no_match
E295,Embraer E295,no_match
E35L,E35L,no_match
E3CF,E3CF,no_match
E3TF,E3TF,no_match
E45X,E45X,no_match
E50P,E50P,no_match
E55P,E55P,no_match
E737,Embraer E737,no_match
E75L,E75L,no_match
E75S,E75S,no_match
EC25,EC25,no_match
EC55,EC55,no_match
EC75,EC75,no_match
EN48,EN48,no_match
FA6X,FA6X,no_match
G12T,G12T,no_match
G2CA,G2CA,no_match
GA4C,GA4C,no_match
GA5C,GA5C,no_match
GA6C,GA6C,no_match
GA7C,GA7C,no_match
GA8C,GA8C,no_match
GLF3,GLF3,no_match
GLF4,GLF4,no_match
GLF5,GLF5,no_match
GLF6,GLF6,no_match
H25C,H25C,no_match
HA4T,HA4T,no_match
HDJT,HDJT,no_match
JS32,JS32,no_match
K35E,K35E,no_match
K35R,K35R,no_match
K900,K900,no_match
LJ28,LJ28,no_match
LJ31,LJ31,no_match
LJ40,LJ40,no_match
LJ70,LJ70,no_match
M20P,M20P,no_match
M339,M339,no_match
P06T,P06T,no_match
P28R,P28R,no_match
P28S,P28S,no_match
P28T,P28T,no_match
P28U,P28U,no_match
P32R,P32R,no_match
P32T,P32T,no_match
PC6T,PC6T,no_match
PZ3T,PZ3T,no_match
RJ1H,RJ1H,no_match
RJ70,RJ70,no_match
SB05,SB05,no_match
SBR1,SBR1,no_match
SH33,SH33,no_match
SS2T,SS2T,no_match
T34P,T34P,no_match
T34T,T34T,no_match
TB21,TB21,no_match
TBM8,TBM8,no_match
TBM9,TBM9,no_match
VR7,VR7,no_match
WB57,WB57,no_match
WW24,WW24,no_match
YK40,YK40,no_match
